clip_ref,video_id,timestamp_s,timestamp_hms,type,class,confidence,split,note,roboflow_image,nearest_gt_event
clip1,01.Candidate was found using a mobile phone in the examination hall..mkv,11.4,00:11.4,FN,phone,,train,"GT has object, detector missed",01-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0000286_t00011-4s_jpg.rf.cba457bbb650cb88f1dc5710f6f06b32.jpg,0.6s from copying [12-16s]: Photographing the screen
clip1,01.Candidate was found using a mobile phone in the examination hall..mkv,51.8,00:51.8,FN,phone,,train,"GT has object, detector missed",01-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0001296_t00051-8s_jpg.rf.37a5923adce9f0de64f909d769580bb6.jpg,0.8s from copying [51-51s]: Photographing the screen
clip1,01.Candidate was found using a mobile phone in the examination hall..mkv,52.3,00:52.3,FN,phone,,train,"GT has object, detector missed",01-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0001308_t00052-3s_jpg.rf.1cbe903d65b51a5fb7adbdbfcfd99162.jpg,1.3s from copying [51-51s]: Photographing the screen
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,203.8,03:23.8,FN,phone,,valid,"GT has object, detector missed",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005096_t00203-8s_jpg.rf.73a56c963fbc7d95c0ccd64458fc0b18.jpg,"2.2s from phone_out [206-206s]: Phone from pocket, no copying"
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,206.7,03:26.7,FN,phone,,train,"GT has object, detector missed",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005168_t00206-7s_jpg.rf.e5dfb9dfbf9ff42ea60c8c4451cd9616.jpg,"0.7s from phone_out [206-206s]: Phone from pocket, no copying"
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,207.2,03:27.2,FN,phone,,train,"GT has object, detector missed",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005180_t00207-2s_jpg.rf.3e5c103115e668efef983da46c6034f8.jpg,"1.2s from phone_out [206-206s]: Phone from pocket, no copying"
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,207.7,03:27.7,FN,phone,,train,"GT has object, detector missed",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005192_t00207-7s_jpg.rf.a79190614e7848b7c664e870d7140492.jpg,"1.7s from phone_out [206-206s]: Phone from pocket, no copying"
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,208.2,03:28.2,FN,phone,,train,"GT has object, detector missed",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005204_t00208-2s_jpg.rf.379a556dd84620ecb6c6cd04f7e34103.jpg,"2.2s from phone_out [206-206s]: Phone from pocket, no copying"
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,208.6,03:28.6,FN,phone,,train,"GT has object, detector missed",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005216_t00208-6s_jpg.rf.05665bd79b3059e5572cd621c360970b.jpg,"2.6s from phone_out [206-206s]: Phone from pocket, no copying"
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,210.6,03:30.6,FP,phone,0.28,train,"detector said phone @ 0.28, GT disagrees",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005264_t00210-6s_jpg.rf.6908428e5c043eab0f558b21f0d7b3be.jpg,"4.6s from phone_out [206-206s]: Phone from pocket, no copying"
