split,image,type,class,note
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005096_t00203-8s_jpg.rf.73a56c963fbc7d95c0ccd64458fc0b18.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005168_t00206-7s_jpg.rf.e5dfb9dfbf9ff42ea60c8c4451cd9616.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005180_t00207-2s_jpg.rf.3e5c103115e668efef983da46c6034f8.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005264_t00210-6s_jpg.rf.6908428e5c043eab0f558b21f0d7b3be.jpg,FP,phone,"detector said phone @ 0.52, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000000_t00000-0s_jpg.rf.506f704ae542a74aa5d81438530f3c73.jpg,FP,phone,"detector said phone @ 0.40, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000006_t00000-5s_jpg.rf.b8644096f2afc62ee342aac648e253f5.jpg,FP,phone,"detector said phone @ 0.45, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000012_t00001-0s_jpg.rf.e69358d0c069cd9240635878f6d7fba4.jpg,FP,phone,"detector said phone @ 0.56, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000018_t00001-5s_jpg.rf.673c725f2e8b22ca24bf3081c9f8f62f.jpg,FP,phone,"detector said phone @ 0.55, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000024_t00002-0s_jpg.rf.1c9e53a445af4d7f3fdefd10a4cac7c0.jpg,FP,phone,"detector said phone @ 0.47, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000036_t00003-0s_jpg.rf.7a8702c3b1f9beeed08d18539673d62b.jpg,FP,phone,"detector said phone @ 0.52, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000060_t00005-0s_jpg.rf.8c0e5a4a2824710a89769abdfd6f0045.jpg,FP,phone,"detector said phone @ 0.58, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000664_t00055-0s_jpg.rf.6439edfdded2bbdb2961c686188f9f63.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000761_t00063-0s_jpg.rf.3e945e4aa9f5b4865746567e0be74fd8.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000767_t00063-5s_jpg.rf.a82ca1b682e4d563526a057d277bfea6.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000815_t00067-4s_jpg.rf.2d7fcdf39502b4f22cd18576f54d8064.jpg,FP,phone,"detector said phone @ 0.29, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000942_t00078-0s_jpg.rf.9f90c2f5523d1e17b748f687facb9326.jpg,FP,phone,"detector said phone @ 0.25, GT disagrees"
train,clip03_78-82s_037_png.rf.5119fa7a79dc5674d6c0dde74a72bbb9.jpg,FP,phone,"detector said phone @ 0.49, GT disagrees"
train,cluster_0043_jpg.rf.682bfd720bcbc9634ab459e42d61d03f.jpg,FP,phone,"detector said phone @ 0.37, GT disagrees"
train,cluster_0303_jpg.rf.e32343288616059e4dd2519bb0b410a3.jpg,FP,phone,"detector said phone @ 0.34, GT disagrees"
train,cluster_0441_jpg.rf.f2e54e5871fcbe72a6e50383ae0115e6.jpg,FP,phone,"detector said phone @ 0.26, GT disagrees"
train,cluster_0650_jpg.rf.0b4274b833f439f519d96ee12aa78008.jpg,FP,phone,"detector said phone @ 0.45, GT disagrees"
train,ev3_0046_jpg.rf.58f8970cae21aeb3c50e2757f9c23c4e.jpg,FP,phone,"detector said phone @ 0.49, GT disagrees"
train,ev3_0802_jpg.rf.4ecc1ffc670a51bd11d78897c5cd05d3.jpg,FP,phone,"detector said phone @ 0.37, GT disagrees"
train,ev4_0236_jpg.rf.7926f48ce2957b45fb52fc4f4610f487.jpg,FN,phone,"GT has object, detector missed"
train,ev4_0286_jpg.rf.4a01ef0bafd147247d63cdb1d1184d8a.jpg,FN,phone,"GT has object, detector missed"
train,ev5_0234_jpg.rf.9200c618b5c41826c15f24b11cb68669.jpg,FP,phone,"detector said phone @ 0.38, GT disagrees"
train,ev5_0452_jpg.rf.095f8e54d7e2290be704134de8caa3ea.jpg,FP,phone,"detector said phone @ 0.27, GT disagrees"
train,ev5_0553_jpg.rf.5ea6d5cf01efbc45f60e06ef2d417e88.jpg,FP,phone,"detector said phone @ 0.31, GT disagrees"
train,ev5_0690_jpg.rf.ef735c659c66e99baf177a44de0f0631.jpg,FP,phone,"detector said phone @ 0.28, GT disagrees"
train,ev6_2533_jpg.rf.2e3528f2b6c3b320df734f2b5fbb0495.jpg,FN,phone,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000575_t00023-0s_jpg.rf.a76d7e2154e32d72d8c3da29e0814fef.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000647_t00025-9s_jpg.rf.eb4872a0fe9b3acf555faf6fdf2ca344.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000671_t00026-8s_jpg.rf.c947d813fe38ab85592f7e1c35151055.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000695_t00027-8s_jpg.rf.e396fd5b26c22007b4223b15106570ad.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000719_t00028-8s_jpg.rf.95b2f5b1eb617af3a79bbb5237a421cf.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000755_t00030-2s_jpg.rf.004475136f695ed40c8552a49ed59692.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000767_t00030-7s_jpg.rf.4f3ec590df17bf7ad8ffc8209994a5c7.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000779_t00031-2s_jpg.rf.01f879bc4eb0291f2940f50c9543ca64.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0000791_t00031-6s_jpg.rf.9c49aff9da5cec3b39e76747c6cd1b9f.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001247_t00049-9s_jpg.rf.8657721382da203545d6a1a8b012312b.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001727_t00069-1s_jpg.rf.036a20535425f560b10100f670c28a3b.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001739_t00069-6s_jpg.rf.2289170942a3db58114bf8a7e6dcfb2d.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001895_t00075-8s_jpg.rf.120ec67ca3d6a125f91368d8314106a0.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001907_t00076-3s_jpg.rf.b42ca1e9009a15a49d6cde58c9a3cf6f.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001919_t00076-8s_jpg.rf.5c7d259d8868adce6b47327564837e1c.jpg,FN,paper-chit,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001931_t00077-2s_jpg.rf.48b2baecefd99e89cd1402199779d843.jpg,FN,paper-chit,"GT has object, detector missed"
