split,image,type,class,note
train,01-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0000286_t00011-4s_jpg.rf.cba457bbb650cb88f1dc5710f6f06b32.jpg,FN,phone,"GT has object, detector missed"
train,01-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0001296_t00051-8s_jpg.rf.37a5923adce9f0de64f909d769580bb6.jpg,FN,phone,"GT has object, detector missed"
train,01-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0001308_t00052-3s_jpg.rf.1cbe903d65b51a5fb7adbdbfcfd99162.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005168_t00206-7s_jpg.rf.e5dfb9dfbf9ff42ea60c8c4451cd9616.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005180_t00207-2s_jpg.rf.3e5c103115e668efef983da46c6034f8.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005192_t00207-7s_jpg.rf.a79190614e7848b7c664e870d7140492.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005204_t00208-2s_jpg.rf.379a556dd84620ecb6c6cd04f7e34103.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005216_t00208-6s_jpg.rf.05665bd79b3059e5572cd621c360970b.jpg,FN,phone,"GT has object, detector missed"
train,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005264_t00210-6s_jpg.rf.6908428e5c043eab0f558b21f0d7b3be.jpg,FP,phone,"detector said phone @ 0.28, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000024_t00002-0s_jpg.rf.1c9e53a445af4d7f3fdefd10a4cac7c0.jpg,FP,phone,"detector said phone @ 0.27, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000042_t00003-5s_jpg.rf.031848cb07bd32df0547975491ce984e.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000060_t00005-0s_jpg.rf.8c0e5a4a2824710a89769abdfd6f0045.jpg,FP,phone,"detector said phone @ 0.34, GT disagrees"
train,03-CCTV_Mobile_Usage_f0000767_t00063-5s_jpg.rf.a82ca1b682e4d563526a057d277bfea6.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000779_t00064-5s_jpg.rf.a0c7844d1084350ec3770dadf0384424.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000803_t00066-5s_jpg.rf.131078e51113f3fec0f4178e40d8efe7.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0000972_t00080-4s_jpg.rf.d8a0a9e1d16daf7607c0a671c9245da7.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0001128_t00093-4s_jpg.rf.11f43fb69c3bcac9b2ab3ed2bc85e964.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0001274_t00105-4s_jpg.rf.de414c6d012e0f374700d59567b20564.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0001280_t00105-9s_jpg.rf.5b68944bbef644ebdfa54e5f7bd892ab.jpg,FN,phone,"GT has object, detector missed"
train,03-CCTV_Mobile_Usage_f0001286_t00106-4s_jpg.rf.24b3743ab15a864e4a6c6977995f949a.jpg,FN,phone,"GT has object, detector missed"
train,Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001967_t00078-7s_jpg.rf.e220b7f13e844e7c4fee3ef47e5d6be3.jpg,FP,paper-chit,"detector said paper-chit @ 0.36, GT disagrees"
valid,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005096_t00203-8s_jpg.rf.73a56c963fbc7d95c0ccd64458fc0b18.jpg,FN,phone,"GT has object, detector missed"
valid,02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005276_t00211-0s_jpg.rf.7b5c2e6a0fe79d2b93fa48175b47d3c7.jpg,FP,phone,"detector said phone @ 0.37, GT disagrees"
valid,03-CCTV_Mobile_Usage_f0000030_t00002-5s_jpg.rf.315550e12880f14fd4a2a9220079c0cb.jpg,FP,phone,"detector said phone @ 0.28, GT disagrees"
valid,03-CCTV_Mobile_Usage_f0000761_t00063-0s_jpg.rf.3e945e4aa9f5b4865746567e0be74fd8.jpg,FN,phone,"GT has object, detector missed"
valid,03-CCTV_Mobile_Usage_f0000791_t00065-5s_jpg.rf.37adeaa66fa150762894b76b74a312e6.jpg,FN,phone,"GT has object, detector missed"
valid,03-CCTV_Mobile_Usage_f0001146_t00094-8s_jpg.rf.c6c93c41334c4d588d335a0c3b65d3ff.jpg,FN,phone,"GT has object, detector missed"
test,03-CCTV_Mobile_Usage_f0000785_t00065-0s_jpg.rf.1e93d264881ee0fc83d26dfe92aa2d95.jpg,FN,phone,"GT has object, detector missed"
test,03-CCTV_Mobile_Usage_f0001588_t00131-4s_jpg.rf.64f947ba4e8455e807babf5abf833fd8.jpg,FP,phone,"detector said phone @ 0.47, GT disagrees"
